
+-------------------------+--------+-----------------------+-----------+-------------+----------------------+---------------------------+---------------------+--------------------+--------------------+
|           Name          | Ticker | % of total global cap |  Current  | 7.7T (Gold) | 36.8T (Narrow Money) | 73T (World Stock Markets) | 90.4T (Broad Money) | 217T (Real Estate) | 544T (Derivatives) |
|           aelf          |  ELF   |         0.03%         |   $0.17   |    $2.34    |        $10.92        |           $22.15          |        $27.43       |       $65.84       |      $165.05       |
|           Dai           |  DAI   |         0.03%         |   $0.94   |    $22.40   |       $104.72        |          $212.36          |       $262.98       |      $631.26       |     $1,582.51      |
|          SOLVE          | SOLVE  |         0.03%         |   $0.26   |    $2.02    |        $9.47         |           $19.20          |        $23.77       |       $57.07       |      $143.06       |
|          Ardor          |  ARDR  |         0.03%         |   $0.08   |    $2.02    |        $9.43         |           $19.13          |        $23.69       |       $56.86       |      $142.53       |
|          Zcoin          |  XZC   |         0.03%         |   $10.59  |    $93.40   |       $436.70        |          $885.52          |      $1,096.59      |     $2,632.31      |     $6,598.96      |
|          Status         |  SNT   |         0.03%         |   $0.02   |    $0.29    |        $1.33         |           $2.71           |        $3.35        |       $8.04        |       $20.16       |
|        Enjin Coin       |  ENJ   |         0.03%         |    $0.1   |    $1.93    |        $9.04         |           $18.33          |        $22.69       |       $54.48       |      $136.57       |
|       MaidSafeCoin      |  MAID  |         0.02%         |   $0.17   |    $4.12    |        $19.26        |           $39.05          |        $48.36       |      $116.08       |      $291.00       |
|           Ren           |  REN   |         0.02%         |    $0.1   |    $1.86    |        $8.68         |           $17.61          |        $21.81       |       $52.35       |      $131.24       |
|          Golem          |  GNT   |         0.02%         |   $0.08   |    $1.73    |        $8.10         |           $16.43          |        $20.34       |       $48.83       |      $122.40       |
|           Dent          |  DENT  |         0.02%         |    $0.0   |    $0.02    |        $0.08         |           $0.16           |        $0.20        |       $0.48        |       $1.21        |
|       Clipper Coin      |  CCCX  |         0.02%         |   $0.02   |    $0.34    |        $1.59         |           $3.21           |        $3.98        |       $9.56        |       $23.96       |
|           NEXT          |  NET   |         0.02%         |   $1.39   |    $1.72    |        $8.03         |           $16.28          |        $20.16       |       $48.39       |      $121.30       |
|      Maximine Coin      |  MXM   |         0.02%         |   $0.04   |    $0.10    |        $0.48         |           $0.98           |        $1.21        |       $2.91        |       $7.30        |
|         Stratis         | STRAT  |         0.02%         |   $0.69   |    $16.55   |        $77.37        |          $156.90          |       $194.30       |      $466.39       |     $1,169.21      |
|          Bezant         |  BZNT  |         0.02%         |   $0.09   |    $1.58    |        $7.39         |           $14.98          |        $18.55       |       $44.53       |      $111.62       |
| Santiment Network Token |  SAN   |         0.02%         |   $1.03   |    $18.53   |        $86.63        |          $175.67          |       $217.54       |      $522.18       |     $1,309.07      |
+-------------------------+--------+-----------------------+-----------+-------------+----------------------+---------------------------+---------------------+--------------------+--------------------+

